sweep_id,radar_site,altitude_padding_m,horizontal_corridor_padding_km,reflectivity_max_dbz,max_gates_per_cluster,n_clusters,n_tracklets,n_consistent_tracklets,mean_tracklet_score,mean_balloon_like_score
SWEEP_121,KEMX,2000,20,10.0,5,3918,10,10,1.2276,0.7296
SWEEP_122,KEMX,2000,20,10.0,10,4247,10,10,1.2277,0.7289
SWEEP_123,KEMX,2000,20,10.0,25,4333,10,10,1.2277,0.7289
SWEEP_124,KEMX,2000,20,20.0,5,3916,10,10,1.2276,0.7296
SWEEP_125,KEMX,2000,20,20.0,10,4245,10,10,1.2277,0.7289
SWEEP_126,KEMX,2000,20,20.0,25,4332,10,10,1.2277,0.7289
SWEEP_127,KEMX,2000,40,5.0,5,7169,8,8,1.2127,0.7233
SWEEP_128,KEMX,2000,40,5.0,10,7865,9,9,1.2123,0.7242
SWEEP_129,KEMX,2000,40,5.0,25,8095,9,9,1.2123,0.7242
SWEEP_130,KEMX,2000,40,10.0,5,7117,8,8,1.2127,0.7233
SWEEP_131,KEMX,2000,40,10.0,10,7839,9,9,1.2123,0.7242
SWEEP_132,KEMX,2000,40,10.0,25,8068,9,9,1.2123,0.7242
SWEEP_133,KEMX,2000,40,20.0,5,7114,8,8,1.2127,0.7233
SWEEP_134,KEMX,2000,40,20.0,10,7835,9,9,1.2123,0.7242
SWEEP_135,KEMX,2000,40,20.0,25,8065,9,9,1.2123,0.7242
SWEEP_136,KEMX,2000,60,5.0,5,9955,8,8,1.2127,0.7233
SWEEP_137,KEMX,2000,60,5.0,10,10812,9,9,1.2123,0.7242
SWEEP_138,KEMX,2000,60,5.0,25,11095,9,9,1.2123,0.7242
SWEEP_139,KEMX,2000,60,10.0,5,9871,8,8,1.2127,0.7233
SWEEP_140,KEMX,2000,60,10.0,10,10770,9,9,1.2123,0.7242
SWEEP_141,KEMX,2000,60,10.0,25,11055,9,9,1.2123,0.7242
SWEEP_142,KEMX,2000,60,20.0,5,9862,8,8,1.2127,0.7233
SWEEP_143,KEMX,2000,60,20.0,10,10760,9,9,1.2123,0.7242
SWEEP_144,KEMX,2000,60,20.0,25,11048,9,9,1.2123,0.7242
SWEEP_001,KIWA,500,10,5.0,5,294,10,10,1.2206,0.7699
SWEEP_002,KIWA,500,10,5.0,10,386,10,10,1.2205,0.7683
SWEEP_003,KIWA,500,10,5.0,25,480,10,10,1.2205,0.7683
SWEEP_004,KIWA,500,10,10.0,5,253,10,10,1.1985,0.783
SWEEP_005,KIWA,500,10,10.0,10,322,10,10,1.2072,0.751
SWEEP_006,KIWA,500,10,10.0,25,401,10,10,1.2086,0.7555
SWEEP_007,KIWA,500,10,20.0,5,247,10,10,1.2013,0.7736
SWEEP_008,KIWA,500,10,20.0,10,321,10,10,1.2126,0.7671
SWEEP_009,KIWA,500,10,20.0,25,396,10,10,1.2138,0.7703
SWEEP_010,KIWA,500,20,5.0,5,680,10,10,1.2381,0.7744
SWEEP_011,KIWA,500,20,5.0,10,850,10,10,1.2433,0.7641
SWEEP_012,KIWA,500,20,5.0,25,994,10,10,1.2453,0.7624
