case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,n_gates,cluster_center_lat_deg,cluster_center_lon_deg,cluster_center_alt_m,cluster_min_distance_to_expected_km,cluster_min_vertical_distance_m,cluster_max_reflectivity_dbz,cluster_mean_reflectivity_dbz,cluster_p95_reflectivity_dbz,cluster_velocity_mean_ms,cluster_spectrum_width_mean_ms,cluster_rhohv_mean,compactness_km,notes
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_010,5,32.33048465106528,-110.61633774245374,5686.6,0.6738544187736719,260.55555555555566,-6.5,-6.6,-6.5,,,,0.857464927420817,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_011,3,32.368850460181086,-110.65437508817125,6464.0,4.381067643935143,635.5555555555557,2.5,-0.8333333333333334,2.3499999999999996,0.6666666666666666,0.5,0.7216666589180628,0.2501785367558608,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_012,2,32.33942053977289,-110.66210464505775,7314.5,4.0993419201484285,1495.5555555555557,-5.5,-5.75,-5.525,,,,0.12504564364719983,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_013,2,32.36909157896734,-110.64444550929674,7694.0,3.836033425093992,1874.5555555555557,-3.0,-4.5,-3.1500000000000004,-0.25,0.75,1.0516666173934937,0.12508907848613587,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_014,2,32.32905950899115,-110.62538281255434,7168.5,1.3927572909286978,1349.5555555555557,-4.5,-5.0,-4.55,,,,0.12504952791266666,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_015,2,32.366991133550464,-110.62495667277425,7664.5,2.799960544028179,1845.5555555555557,-5.5,-6.25,-5.575,,,,0.12503399085925523,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,loose,20260322_201442_loose_001,55435,32.305451876721015,-110.61439307448958,2564.8183818886987,0.1025710777679912,13.33333333333303,44.0,-1.0963651122936773,8.0,3.8215805336406348,2.9935945909879456,0.758918459682709,24.54742858559564,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_001,258,32.352610194132566,-110.61644228700628,4579.046511627907,0.6482686636302002,174.66666666666697,9.0,-3.3217054263565893,1.0,3.7062937062937062,2.340909090909091,0.8744798844799082,12.555727031456716,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_002,25,32.38275519144318,-110.50479895504826,3632.52,8.3217967893674,2107.666666666667,2.0,-2.4,0.5999999999999943,4.4375,2.1470588235294117,0.8257142550178936,3.9902906109117313,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_003,6,32.27598489800834,-110.53516740379598,3531.6666666666665,7.207890952788913,2795.666666666667,-4.5,-5.333333333333333,-4.5,10.0,3.1666666666666665,0.5649999976158142,1.229271548037135,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_004,2,32.35351621894327,-110.52888685576167,6381.5,5.519519784721736,13.33333333333303,-6.5,-6.75,-6.525,,,,0.12504683713197642,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_005,4,32.365653141857045,-110.50078450676868,6558.25,8.13318728036359,178.33333333333303,-5.0,-5.75,-5.075,,,,0.5339352408381751,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_006,2,32.424493962612175,-110.60234503409549,8428.5,9.61251917930614,2057.333333333333,-2.0,-2.5,-2.05,,,,0.1250126274536812,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_001,2,32.36312790141476,-110.55668413833732,4522.5,3.773621135240128,1826.666666666667,-3.0,-3.5,-3.05,,,,0.12510951847393803,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_002,2,32.33083320993377,-110.63444064447094,5121.0,4.659455715379365,1226.666666666667,-3.5,-4.75,-3.625,,,,0.1250660238205066,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_003,2,32.370712993188604,-110.60515979683059,5458.5,3.962752240801166,888.666666666667,-3.5,-4.25,-3.575,,,,0.12508935108722288,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_004,2,32.32210217807233,-110.58104831559928,5065.5,1.7111621595739956,1281.666666666667,-3.0,-4.25,-3.125,,,,0.12510104914576814,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_005,2,32.320377148840166,-110.56334080304012,5065.5,2.7910659370382307,1281.666666666667,-2.0,-4.0,-2.2,0.25,1.25,1.0516666173934937,0.12510104914583084,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_006,2,32.34131124515586,-110.63451619963428,6170.0,4.619057525243548,174.66666666666697,-7.0,-7.25,-7.025,,,,0.1250977033146003,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_007,2,32.31745452000863,-110.54594986321692,5982.0,4.316469103388285,362.66666666666697,-5.0,-6.0,-5.1,,,,0.12509964962231115,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_008,2,32.32905950899115,-110.62538281255434,7168.5,3.8581989932045953,797.333333333333,-3.5,-4.75,-3.625,,,,0.12504952791266666,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_009,2,32.34230406145632,-110.61593931234682,7343.5,2.892482441816236,972.333333333333,-6.5,-7.0,-6.55,,,,0.12504370151455638,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_010,2,32.321961084333665,-110.60776015033575,7080.5,2.6821550898862347,709.333333333333,-5.5,-6.75,-5.625,,,,0.12505341218107674,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_011,2,32.37056091406116,-110.59536843080701,7723.5,3.607684973569589,1352.333333333333,-6.0,-6.25,-6.025,,,,0.12503399085970598,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,loose,20260322_202135_loose_001,51910,32.301161777155095,-110.58853439389242,2561.2858408784437,0.1126652730216912,14.037037037037408,39.5,-1.6631284916201117,7.0,3.9253102944755414,2.939952234732173,0.7657026373085122,25.08064391313076,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_001,60,32.3667212376621,-110.61000287913639,5308.933333333333,2.559683924002446,181.0370370370374,-0.5,-4.033333333333333,-1.0,1.263157894736842,2.0,1.0295454128222032,7.7719624412005945,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_002,3,32.4140020120068,-110.53032136697088,4477.666666666667,8.941894864725873,1969.0370370370376,0.0,-1.5,-0.15000000000000013,,0.0,0.8983333110809326,1.4361060022430867,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_003,2,32.3586006572158,-110.49750527279734,3991.0,5.776401496199223,2895.0370370370374,-3.0,-3.0,-3.0,,,,0.12510668604435582,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_004,2,32.391324965424474,-110.47720528945216,4182.0,9.392985977979915,2704.0370370370374,-1.0,-1.75,-1.0750000000000002,-2.25,4.75,,0.12510277989906732,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_005,2,32.324428704770966,-110.61646323594451,4293.5,6.027127868996892,2591.0370370370374,-6.0,-6.0,-6.0,,,,0.1251114702795129,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_006,2,32.3232234283211,-110.58980971327486,4293.5,3.6246248485364023,2591.0370370370374,-2.0,-4.0,-2.2,0.5,0.0,,0.1251114702795374,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_007,12,32.269156014301934,-110.56096005739683,5845.25,6.959367446954109,448.0370370370374,-4.5,-6.958333333333333,-4.5,6.75,0.75,1.0516666173934937,2.1071613065966015,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_008,2,32.320233311140434,-110.5271872347283,4323.0,2.909986233003482,2562.0370370370374,-1.5,-4.0,-1.7500000000000002,,0.0,1.0516666173934937,0.12508444502064825,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_009,2,32.277014367577806,-110.52928539263448,4046.0,6.732754499707739,2839.0370370370374,-6.5,-6.75,-6.525,,,,0.12509420631505438,DBSCAN cluster
