case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,expected_lat_deg,expected_lon_deg,expected_alt_m,candidate_lat_deg,candidate_lon_deg,candidate_alt_m,horizontal_distance_km,vertical_distance_m,n_gates,max_reflectivity_dbz,mean_reflectivity_dbz,p95_reflectivity_dbz,velocity_mean_ms,spectrum_width_mean_ms,rhohv_mean,distance_score,altitude_score,reflectivity_score,compactness_score,isolation_score,temporal_continuity_score,candidate_score,candidate_rank,candidate_label,notes
k7uaz_20260322,KEMX,2026-03-22T20:57:01Z,KEMX20260322_205701_V06,loose,20260322_205701_loose_001,32.31932592592593,-110.38792222222224,9647.962962962964,32.345937217868176,-110.5293290030882,6196.291666666667,13.611419760157267,3451.6712962962965,48,-0.5,-5.416666666666667,-2.5,0.75,1.25,1.0516666173934937,0.3194290119921367,0.3096657407407407,0.2714285714285714,0.08668864434152682,0.4050632911392405,1.0,0.22417297666459993,185,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,loose,20260322_195325_loose_001,32.34759259259259,-110.68472222222222,4701.2962962962965,32.31976300316725,-110.68938944053308,2591.246064470639,3.125427815341974,2110.0502318256576,65239,42.0,-0.2134229525283956,8.5,3.592884207598985,2.900271985494107,0.7412409557125211,0.8437286092329013,0.5779899536348685,1.0,0.0,0.0,1.0,0.22333249993000448,186,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:46:20Z,KEMX20260322_194620_V06,normal,20260322_194620_normal_001,32.343333333333334,-110.72333333333331,4176.666666666667,32.33350117938501,-110.7208482787574,2590.733854840607,1.1179375599643582,1585.93281182606,17002,38.5,2.0770497588518997,11.5,2.7113248966942147,3.131154995452774,0.6761811937506303,0.8882062440035641,0.4713557293913133,1.0,0.0,0.0,1.0,0.2196042255536913,187,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:39:14Z,KEMX20260322_193914_V06,tight,20260322_193914_tight_001,32.314933333333336,-110.78013333333334,3736.4666666666662,32.313638045490734,-110.77947008878664,2520.0858007348174,0.15693723278310334,1216.3808659318488,4627,22.0,1.6827317916576616,9.5,1.3734485815602837,3.6586666666666665,0.7453820264310765,0.9686125534433794,0.3918095670340756,0.9142857142857143,0.0,0.0,1.0,0.21479012418162916,188,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,loose,20260322_200031_loose_001,32.34443703703704,-110.65158888888888,5253.518518518518,32.31514048745922,-110.66219043114026,2587.1167614907627,3.4065206765917866,2666.4017570277556,62572,46.5,-0.3514830914786166,8.5,3.6632184758873385,2.907939095321009,0.7413595998091338,0.8296739661704107,0.46671964859444887,1.0,0.0,0.0,1.0,0.21436298855992594,189,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:46:20Z,KEMX20260322_194620_V06,tight,20260322_194620_tight_001,32.343333333333334,-110.72333333333331,4176.666666666667,32.343435497889146,-110.7236819413945,2697.665501165501,0.034663977136092955,1479.0011655011658,3432,38.5,3.8723776223776225,13.0,2.4092548076923075,3.4029896278218428,0.6437983994705259,0.9930672045727814,0.2604994172494171,1.0,0.0,0.0,1.0,0.2136526043915728,190,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,normal,20260322_195325_normal_001,32.34759259259259,-110.68472222222222,4701.2962962962965,32.33912957861105,-110.68252134541105,2587.565204796941,0.9634915619591503,2113.7310914993554,17261,42.0,1.3978622327790975,11.0,3.214213326577147,2.979781281790437,0.6822095031444994,0.9036508438040849,0.29542296950021485,1.0,0.0,0.0,1.0,0.20858627874455815,191,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T22:20:24Z,KEMX20260322_222024_V06,loose,20260322_222024_loose_001,32.23,-109.8584,11947.2,32.2539715816315,-110.04420086593808,8714.0,17.676525096000198,3233.2000000000007,55,3.0,-2.136363636363636,1.6499999999999986,0.2678571428571428,0.9032258064516128,0.9285483639086446,0.1161737451999901,0.35335999999999984,0.37142857142857144,0.3296164186840489,0.31645569620253167,1.0,0.20595839559659784,192,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,loose,20260322_200736_loose_001,32.34128888888889,-110.61853333333332,5804.444444444444,32.31063098879008,-110.63729644104488,2574.369107758188,3.8379123569474665,3230.0753366862564,59782,43.5,-0.7930397109497842,7.5,3.79139086131504,2.915558857785453,0.7486146811610196,0.8081043821526267,0.3539849326627487,1.0,0.0,0.0,1.0,0.20465971338721303,193,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,normal,20260322_200031_normal_001,32.34443703703704,-110.65158888888888,5253.518518518518,32.34050634854505,-110.6511436999895,2735.302947170403,0.4390696794439009,2518.215571348115,12758,32.0,0.8079244395673303,8.0,3.665104083902749,2.8629070691024623,0.6817419132008063,0.95609303205561,0.16059480955062827,1.0,0.0,0.0,1.0,0.2035534513612152,194,no_candidate,DBSCAN cluster
