association_id,radar_sites,tracklet_ids,n_radars,time_overlap_min,n_overlap_samples,median_altitude_difference_m,median_horizontal_difference_km,mean_telemetry_consistency_score,cross_radar_score,association_label,notes
A087,KEMX;KIWA,KEMX_T002;KIWA_T006,2,8.8,4,278.2,16.33,0.8013,0.774,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=16.3km, med_v=278m"
A088,KEMX;KIWA,KEMX_T002;KIWA_T010,2,23.1,7,222.9,17.28,0.7823,0.7736,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=223m"
A089,KEMX;KIWA,KEMX_T002;KIWA_T007,2,23.1,7,239.5,17.27,0.7891,0.7718,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=17.3km, med_v=240m"
A090,KEMX;KIWA,KEMX_T006;KIWA_T003,2,8.8,4,290.3,17.25,0.81,0.7659,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.3km, med_v=290m"
A091,KEMX;KIWA,KEMX_T006;KIWA_T005,2,8.8,4,290.1,17.19,0.7971,0.7638,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.2km, med_v=290m"
A092,KEMX;KIWA,KEMX_T001;KIWA_T007,2,23.1,7,222.9,18.89,0.7953,0.7633,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=18.9km, med_v=223m"
A093,KEMX;KIWA,KEMX_T006;KIWA_T009,2,8.8,4,290.3,17.25,0.7968,0.7632,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.3km, med_v=290m"
A094,KEMX;KIWA,KEMX_T001;KIWA_T004,2,30.1,8,175.0,19.78,0.7746,0.7617,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=19.8km, med_v=175m"
A095,KEMX;KIWA,KEMX_T006;KIWA_T006,2,8.8,4,316.3,17.24,0.8086,0.7606,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=17.2km, med_v=316m"
A096,KEMX;KIWA,KEMX_T006;KIWA_T004,2,30.1,8,174.0,20.61,0.7757,0.7554,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=20.6km, med_v=174m"
A097,KEMX;KIWA,KEMX_T007;KIWA_T004,2,30.1,8,172.8,21.63,0.7923,0.7509,moderate_cross_radar_candidate,"Associated: overlap=30.1m, med_h=21.6km, med_v=173m"
A098,KEMX;KIWA,KEMX_T006;KIWA_T007,2,23.1,7,164.5,22.02,0.7964,0.7502,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=22.0km, med_v=165m"
A099,KEMX;KIWA,KEMX_T006;KIWA_T010,2,23.1,7,164.5,22.02,0.7896,0.7488,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=22.0km, med_v=165m"
A100,KEMX;KIWA,KEMX_T006;KIWA_T008,2,23.1,7,164.5,22.02,0.7865,0.7482,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=22.0km, med_v=165m"
